cle_interop,uid_adresse,numero,suffixe,pseudo_numero,voie_code,code_postal,libelle_acheminement,destination_principale,commune_code,commune_nom,source,long,lat,x,y,position,date_der_maj,Type de voie,Nom de voie,Valeur fonciere,Surface reelle bati,Date mutation,vf_square_meter_price
75101_5738_00044,,44,,False,5738,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3484376,48.859691299999994,652195.81,6862381.26,entr��e,2018-10-30,rue,lombards,"290000,00",31.0,13/10/2017,9354.838709677419
75101_8894_00021,,21,,False,8894,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3486643,48.85973660000001,652212.48,6862386.16,entr��e,2018-10-30,bd,s��bastopol,"928000,00",55.0,22/12/2017,16872.727272727272
75101_8249_00108,,108,,False,8249,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3468227,48.8590853,652076.77,6862314.85,entr��e,2018-10-30,rue,rivoli,"582500,00",42.0,19/12/2017,13869.047619047618
75101_4461_00005,,5,,False,4461,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3470191000000002,48.859214200000004,652091.3,6862329.07,entr��e,2018-10-30,rue,halles,"123270,00",0.0,24/04/2017,inf
75101_4461_00002,,2,,False,4461,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3474427,48.8591403,652122.31,6862320.59,entr��e,2018-10-30,rue,halles,"336000,00",41.0,12/04/2017,8195.121951219513
75101_8525_00015,,15,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3477021000000002,48.85936029999999,652141.54,6862344.9,entr��e,2018-10-30,rue,st-denis,"335950,00",21.0,13/10/2017,15997.619047619048
75101_2400_00002,,2,,False,2400,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3476103999999998,48.8596086,652135.04,6862372.56,entr��e,2018-10-30,rue,courtalon,"9430,00",39.0,09/05/2017,241.7948717948718
75101_5738_00039,,39,,False,5738,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3475589,48.8597748,652131.42,6862391.07,entr��e,2018-10-30,rue,lombards,"465600,00",48.0,20/04/2017,9700.0
75101_8525_00029,,29,,False,8525,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3479226000000004,48.85983270000001,652158.15,6862397.29,entr��e,2018-10-30,rue,st-denis,"212000,00",18.0,24/11/2017,11777.777777777777
75101_3621_00017,,17,,False,3621,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3474385,48.86016179999999,652122.94,6862434.18,entr��e,2018-10-30,rue,ferronnerie,"173000,00",28.0,27/12/2017,6178.571428571428
75101_3621_00013,,13,,False,3621,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3475626,48.8601902,652132.07,6862437.26,entr��e,2018-10-30,rue,ferronnerie,"540000,00",0.0,22/12/2017,inf
75101_3621_00011,,11,,False,3621,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3476807,48.8601824,652140.73,6862436.32,entr��e,2018-10-30,rue,ferronnerie,"632000,00",99.0,05/07/2017,6383.838383838384
