#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2015-01-01,7,3,15,4,5,3,0,87,10,1038,14.875,7,5,0,113,116,113,météo très défavorable
2015-01-02,9,6,21,4,8,6,1.7,97,8.25,1037,51.875,9,8,2,266,263,113,météo défavorable
2015-01-03,12,5,36,3,12,10,7,96,8.375,1036,70.75,12,11,0,119,302,176,météo très défavorable
2015-01-04,6,3,9,3,6,3,0.1,94,10,1038,20.125,6,6,0,113,113,113,météo très défavorable
2015-01-05,6,4,8,2,5,4,0,85,10,1037,17.75,6,2,2,113,113,116,météo très défavorable
2015-01-06,6,2,11,1,6,3,0,79,9,1027,26.5,6,3,-1,113,119,116,météo très défavorable
2015-01-07,6,4,13,2,6,5,0.1,94,7,1030,31.875,6,5,1,143,113,176,météo très défavorable
2015-01-08,10,8,33,7,9,7,3,95,8.25,1035,68.25,10,9,4,266,296,113,météo défavorable
2015-01-09,13,8,28,7,12,11,0.7,96,9,1034,76.375,13,12,4,116,176,119,météo défavorable
2015-01-10,14,13,33,13,14,10,3,91,6.25,1026,83.375,14,13,10,176,263,296,météo défavorable
2015-01-11,9,7,26,5,9,7,0,85,10,1032,35.5,9,5,3,116,113,116,météo défavorable
2015-01-12,7,6,30,4,7,6,0,92,10,1030,57,7,5,1,116,119,116,météo très défavorable
2015-01-13,8,7,38,6,8,7,5.1,93,9.125,1016,62.875,8,6,2,116,296,263,météo très défavorable
2015-01-14,8,7,29,5,8,7,2.9,91,8.75,1017,53.625,8,5,2,116,113,116,météo très défavorable
2015-01-15,9,7,42,6,9,7,8.6,90,7.625,1009,83.5,9,7,1,266,293,296,météo défavorable
2015-01-16,8,6,18,4,8,6,0.1,90,10,1011,62.625,8,5,4,119,116,113,météo très défavorable
2015-01-17,5,2,21,2,5,1,0,84,10,1019,14.5,5,2,-2,113,113,116,météo très défavorable
2015-01-18,7,3,24,1,5,4,4.8,87,9.125,1017,89.125,7,3,-2,119,122,389,météo très défavorable
2015-01-19,5,3,18,2,4,3,1,93,9.875,1013,62.625,5,2,-1,317,116,116,météo très défavorable
2015-01-20,3,2,8,1,3,2,0,88,7,1013,42.125,4,0,0,143,116,119,météo très défavorable
2015-01-21,5,1,18,-1,4,1,0,78,10,1011,58.375,5,0,-3,119,116,116,météo très défavorable
2015-01-22,4,0,18,-1,3,0,0,80,10,1022,39.75,4,0,-5,113,116,122,météo très défavorable
2015-01-23,4,-2,15,-2,3,0,0,88,10,1027,32.375,4,0,-6,116,113,113,météo très défavorable
2015-01-24,7,4,31,1,7,2,2.9,90,9.75,1032,45,7,3,0,296,116,113,météo très défavorable
2015-01-25,6,3,11,1,6,2,0,86,10,1033,59.25,6,3,0,116,119,122,météo très défavorable
2015-01-26,8,4,21,3,7,8,4.4,94,6.75,1030,91.375,8,7,-1,176,296,266,météo très défavorable
2015-01-27,8,4,15,3,8,4,0.1,87,10,1029,73.25,8,4,1,116,116,119,météo très défavorable
2015-01-28,9,6,43,5,7,7,2.6,88,7.75,1025,84.5,9,7,1,122,266,296,météo défavorable
2015-01-29,7,5,31,4,7,6,6.5,86,7.75,1007,78.375,7,5,1,296,296,293,météo très défavorable
2015-01-30,6,4,40,2,6,5,1,80,8.75,983,62.875,6,3,-2,200,176,113,météo très défavorable
2015-01-31,6,2,27,1,6,2,4.2,88,8.75,988,77.75,6,1,-2,143,116,317,météo très défavorable
2015-02-01,5,3,39,1,5,3,3.7,86,8.75,1002,78.625,5,3,-2,113,317,182,météo très défavorable
2015-02-02,3,2,12,0,3,2,2,92,9.375,1006,83.75,3,1,-1,326,176,122,météo très défavorable
2015-02-03,3,1,12,0,3,1,0.2,74,10,1007,91.625,3,0,-1,122,122,119,météo très défavorable
2015-02-04,5,0,32,-1,3,1,0,77,10,1019,25.375,5,0,-6,116,113,113,météo très défavorable
2015-02-05,4,0,28,-2,3,0,0.1,73,10,1022,30.625,4,0,-6,116,119,113,météo très défavorable
2015-02-06,3,1,40,-2,2,1,0,71,10,1026,30.625,3,0,-7,116,113,113,météo très défavorable
2015-02-07,5,-1,30,-3,3,1,0,58,10,1034,28,5,0,-8,119,113,113,météo très défavorable
2015-02-08,6,4,33,3,6,3,0.2,81,10,1038,54.375,6,2,-1,119,119,113,météo très défavorable
2015-02-09,9,4,13,2,8,6,0,89,9,1036,31.5,9,4,1,113,113,119,météo très défavorable
2015-02-10,8,5,20,3,8,6,0.2,92,9,1033,67.875,8,4,1,119,119,116,météo très défavorable
2015-02-11,12,3,10,1,9,8,0,84,8,1027,15.25,12,5,0,143,113,113,météo très défavorable
2015-02-12,10,5,12,3,9,7,0,80,10,1022,9.125,11,4,3,113,113,113,météo très défavorable
2015-02-13,10,6,39,3,10,8,2.1,82,9.75,1019,56.875,10,5,1,116,122,293,météo défavorable
2015-02-14,9,8,27,6,9,8,7.3,92,6.125,1006,99.25,9,6,4,266,296,266,météo défavorable
2015-02-15,9,6,16,4,9,7,0.5,88,7,1015,73.5,9,5,3,143,176,116,météo défavorable
2015-02-16,10,7,16,4,10,6,0,86,10,1020,36.125,10,5,5,113,113,122,météo défavorable
2015-02-17,8,6,28,4,7,6,0.2,89,10,1041,77.25,8,4,2,122,176,122,météo très défavorable
2015-02-18,9,4,11,1,9,7,0,83,10,1041,15.125,9,4,1,113,116,113,météo très défavorable
2015-02-19,9,4,22,2,8,6,0,83,10,1035,23.375,9,3,1,113,113,122,météo très défavorable
2015-02-20,9,7,41,5,9,8,11.9,88,8.875,1021,96,9,6,2,296,296,296,météo défavorable
2015-02-21,7,5,27,2,7,4,2.9,82,7.875,1006,61.875,7,4,1,116,266,116,météo très défavorable
2015-02-22,9,6,21,2,9,4,0,74,10,1012,19.375,9,2,5,113,113,113,météo défavorable
2015-02-23,10,7,38,9,10,6,15.4,94,8.875,1003,72.375,10,8,4,302,353,176,météo défavorable
2015-02-24,10,6,32,3,10,5,1.2,76,10,1018,38.375,10,3,1,353,353,113,météo défavorable
2015-02-25,9,5,24,4,9,8,2.1,86,5,1019,80.25,9,7,1,266,266,143,météo très défavorable
2015-02-26,12,8,18,7,9,11,12.8,97,4.75,1020,88.25,12,11,5,296,302,302,météo défavorable
2015-02-27,8,5,27,3,8,5,0.7,69,8.375,1025,28.75,8,4,0,113,113,116,météo très défavorable
2015-02-28,8,5,31,2,8,6,1,82,8,1023,65.125,8,5,1,113,122,266,météo très défavorable
2015-03-01,11,9,24,8,10,9,5.6,79,8.375,1011,87.875,11,7,6,266,122,176,météo défavorable
2015-03-02,11,8,40,9,11,5,2.7,81,7.875,1020,66.5,11,8,4,296,176,113,météo défavorable
2015-03-03,12,7,40,3,12,6,1.9,73,9.875,1025,38.875,12,5,3,116,353,176,météo défavorable
2015-03-04,9,5,30,2,9,5,0.6,73,9.75,1035,21,9,2,1,113,176,113,météo très défavorable
