Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
558;39 ET 41 RUE DU MOULIN DE LA POINTE 10-12 ET 15 RUE BOURGON;75013;Paris;2005;SIEMP;9;9;0;0;0;acquisition réhabilitation;;13;logement familial;652764.6409;6858301.591;"{""type"": ""Point"", ""coordinates"": [2.356643395721473, 48.823044691198525]}";48.8230446912, 2.35664339572
559;17, RUE DU SENTIER;75002;Paris;2005;SIEMP;8;0;8;0;0;acquisition réhabilitation;;2;logement familial;651994.2609;6863384.283;"{""type"": ""Point"", ""coordinates"": [2.345577388777544, 48.86869636540829]}";48.8686963654, 2.34557738878
560;79-81 RUE DU CHATEAU DES RENTIERS- LOT A2;75013;Paris;2005;RIVP;23;0;4;0;19;construction neuve;;13;logement familial;653660.701;6858693.466;"{""type"": ""Point"", ""coordinates"": [2.368804753906344, 48.82663392832268]}";48.8266339283, 2.36880475391
562;21, RUE BENARD;75014;Paris;2005;IMM 3F;20;20;0;0;0;acquisition réhabilitation;;14;résidence sociale pour démuni;650280.0108;6859254.92;"{""type"": ""Point"", ""coordinates"": [2.322692399080656, 48.8314312405924]}";48.8314312406, 2.32269239908
576;19, RUE AU MAIRE;75003;Paris;2005;SIEMP;10;3;7;0;0;acquisition réhabilitation;;3;logement familial;652785.5844;6862920.238;"{""type"": ""Point"", ""coordinates"": [2.356415925504891, 48.86458178108169]}";48.8645817811, 2.3564159255
577;83, RUE LEON FROT;75011;Paris;2005;SEMIDEP;16;5;11;0;0;acquisition réhabilitation;;11;logement familial;654821.811;6862152.007;"{""type"": ""Point"", ""coordinates"": [2.38425242572463, 48.85781919117637]}";48.8578191912, 2.38425242572
583;126 RUE DE CHARONNE;75011;Paris;2005;FREHA;4;4;0;0;0;acquisition réhabilitation;;11;logement familial;655016.1247;6861838.865;"{""type"": ""Point"", ""coordinates"": [2.386933816320181, 48.855016721693055]}";48.8550167217, 2.38693381632
585;16-26, RUE DU HAMEAU;75015;Paris;2005;PARIS HAB;176;18;87;0;71;acquisition conventionnement;;15;logement familial;647781.3096;6859667.403;"{""type"": ""Point"", ""coordinates"": [2.288605165989456, 48.83494311912652]}";48.8349431191, 2.28860516599
586;2, RUE ALBERT CAMUS;75010;Paris;2005;RIVP;83;21;42;0;20;acquisition conventionnement;;10;logement familial;653684.9917;6864380.987;"{""type"": ""Point"", ""coordinates"": [2.36851606706668, 48.87778330557659]}";48.8777833056, 2.36851606707
588;5BIS ET 7 PASSAGE PENEL  92-94 RUE CHAMPIONNET;75018;Paris;2005;SIEMP;9;0;9;0;0;construction neuve;;18;logement familial;651802.7383;6866418.255;"{""type"": ""Point"", ""coordinates"": [2.34262232066635, 48.895965626505394]}";48.8959656265, 2.34262232067
