Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
108;41, RUE DE LYON;75012;Paris;2002;ELOGIE;19;0;0;0;19;acquisition réhabilitation;;12;logement familial;653828.9142;6861154.795;"{""type"": ""Point"", ""coordinates"": [2.370828786446361, 48.84878091802179]}";48.848780918, 2.37082878645
120;24, RUE JEAN NICOT;75007;Paris;2002;LOG.FR.;14;5;9;0;0;acquisition conventionnement;;7;logement familial;649199.6866;6862429.099;"{""type"": ""Point"", ""coordinates"": [2.307597340858779, 48.85989223794802]}";48.8598922379, 2.30759734086
123;205, RUE SAINT MAUR;75010;Paris;2002;LOG.FR.;28;0;28;0;0;acquisition conventionnement;;10;logement familial;653886.7885;6863773.214;"{""type"": ""Point"", ""coordinates"": [2.371333331461864, 48.87233222178023]}";48.8723322218, 2.37133333146
128;33 RUE HENRI BARBUSSE;75005;Paris;2002;PARIS HAB;16;4;12;0;0;acquisition conventionnement;;5;logement familial;651463.9956;6860300.279;"{""type"": ""Point"", ""coordinates"": [2.338701140574999, 48.840922461053566]}";48.8409224611, 2.33870114057
129;37, RUE NOTRE DAME DE NAZARETH;75003;Paris;2002;RIVP;38;11;27;0;0;acquisition conventionnement;;3;logement familial;652903.2259;6863236.085;"{""type"": ""Point"", ""coordinates"": [2.35798443253225, 48.86743075330754]}";48.8674307533, 2.35798443253
136;10 RUE D'ENGHIEN;75010;Paris;2002;RIVP;9;0;9;0;0;acquisition réhabilitation;;10;logement familial;652493.8819;6863727.583;"{""type"": ""Point"", ""coordinates"": [2.352349618475674, 48.871820636077835]}";48.8718206361, 2.35234961848
138;11, BD SOULT;75012;Paris;2002;DOMAXIS;24;24;0;0;0;acquisition réhabilitation;;12;logement familial;656483.5599;6859743.298;"{""type"": ""Point"", ""coordinates"": [2.407146527211637, 48.83627198576649]}";48.8362719858, 2.40714652721
141;156-162 RUE DE SAUSSURE;75017;Paris;2002;PARIS HAB;34;0;0;0;34;construction neuve;;17;logement familial;649093.2896;6865764.886;"{""type"": ""Point"", ""coordinates"": [2.305747497406741, 48.889881613958835]}";48.889881614, 2.30574749741
142;61, RUE MYRHA  (HS);75018;Paris;2002;PARIS HAB;25;0;25;0;0;acquisition réhabilitation;;18;résidence pour étudiants;652432.0731;6865387.739;"{""type"": ""Point"", ""coordinates"": [2.351321092027729, 48.88674539413611]}";48.8867453941, 2.35132109203
159;LOT 3A- 32-34 RUE PERNETY, 5 RUE SAINTE LEONIE , PL. BK/14;75014;Paris;2002;PARIS HAB;14;0;0;0;14;construction neuve;;14;logement familial;650003.1221;6859492.593;"{""type"": ""Point"", ""coordinates"": [2.318892759122765, 48.83354723138341]}";48.8335472314, 2.31889275912
161;345, RUE SAINT MARTIN;75003;Paris;2002;FREHA;16;16;0;0;0;acquisition réhabilitation;;3;logement familial;652685.1743;6863328.198;"{""type"": ""Point"", ""coordinates"": [2.355001863883999, 48.86824312811054]}";48.8682431281, 2.35500186388
167;45-47, RUE RAMPONEAU;75020;Paris;2002;PARIS HAB;13;0;13;0;0;construction neuve;;20;logement familial;654620.9028;6863696.801;"{""type"": ""Point"", ""coordinates"": [2.3813493441727163, 48.87169719746208]}";48.8716971975, 2.38134934417
170;3-5, RUE NEUVE DE LA CHARDONNIERE  46 BD ORNANO;75018;Paris;2002;SAGI;77;0;77;0;0;construction neuve;;18;résidence pour étudiants;652179.7376;6866277.378;"{""type"": ""Point"", ""coordinates"": [2.347779969128099, 48.894726892237045]}";48.8947268922, 2.34777996913
171;POLE 2 - LOTS 2A  71 RUE RAYMOND LOSSERAND;75014;Paris;2002;PARIS HAB;4;0;4;0;0;acquisition réhabilitation;;14;logement familial;649982.8095;6859557.893;"{""type"": ""Point"", ""coordinates"": [2.318608378114117, 48.834132902018716]}";48.834132902, 2.31860837811
175;169, RUE MARCADET;75018;Paris;2002;ELOGIE;44;15;29;0;0;acquisition conventionnement;;18;logement familial;651366.7436;6865916.918;"{""type"": ""Point"", ""coordinates"": [2.33673336508109, 48.89142451957915]}";48.8914245196, 2.33673336508
176;100, RUE DE JAVEL;75015;Paris;2002;RES.URB.;55;0;55;0;0;acquisition conventionnement;;15;logement familial;647572.1083;6860674.435;"{""type"": ""Point"", ""coordinates"": [2.285631180080165, 48.84398235322325]}";48.8439823532, 2.28563118008
177;69, AVENUE DU DOCTEUR ARNOLD NETTER;75012;Paris;2002;ANTIN;35;0;35;0;0;acquisition conventionnement;;12;logement familial;656391.8969;6860799.598;"{""type"": ""Point"", ""coordinates"": [2.405789497058966, 48.845765180698315]}";48.8457651807, 2.40578949706
186;88, RUE PHILIPPE DE GIRARD;75018;Paris;2002;SIEMP;5;0;0;0;5;acquisition conventionnement;;18;logement familial;653111.2759;6865654.181;"{""type"": ""Point"", ""coordinates"": [2.360553479278409, 48.889191235053545]}";48.8891912351, 2.36055347928
192;9 RUE DAUBIGNY 2-4 RUE BOREL 126 BD MALESHERBES;75017;Paris;2002;SAGI;64;0;0;0;64;acquisition réhabilitation;;17;logement familial;649300.192;6865197.669;"{""type"": ""Point"", ""coordinates"": [2.308636761788267, 48.884797176285964]}";48.8847971763, 2.30863676179
193;24 RUE AMELOT 4 RUE DU CHEMIN VERT;75011;Paris;2003;MUT.RATP;28;0;0;0;28;construction neuve;;11;logement familial;653700.1211;6862067.356;"{""type"": ""Point"", ""coordinates"": [2.368974428419522, 48.85697829347879]}";48.8569782935, 2.36897442842
194;97 BD DAVOUT;75020;Paris;2003;FONCIERE;20;0;0;0;20;construction neuve;;20;logement familial;656708.5786;6861861.849;"{""type"": ""Point"", ""coordinates"": [2.409996337950571, 48.85533936515167]}";48.8553393652, 2.40999633795
195;49 BIS RUE DU MOULIN DE LA POINTE;75013;Paris;2003;FONCIERE;9;0;0;0;9;construction neuve;opération abandonnée;13;logement familial;652759.4812;6858233.682;"{""type"": ""Point"", ""coordinates"": [2.356580659118503, 48.82243359503354]}";48.822433595, 2.35658065912
200;LOT D - 17-21, RUE TAGORE 143-145 AV D'ITALIE;75013;Paris;2003;ELOGIE;35;0;0;0;35;acquisition conventionnement;;13;logement familial;652988.7086;6858014.437;"{""type"": ""Point"", ""coordinates"": [2.3597268287368323, 48.82047863920008]}";48.8204786392, 2.35972682874
206;29 BIS RUE DES FRANCS-BOURGEOIS;75004;Paris;2003;PARIS HAB;13;0;13;0;0;acquisition réhabilitation;;4;logement familial;653130.1019;6862120.338;"{""type"": ""Point"", ""coordinates"": [2.361200076387846, 48.85741353748246]}";48.8574135375, 2.36120007639
211;15, PASSAGE DU CLOS BRUNEAU;75005;Paris;2003;PARIS HAB;6;0;6;0;0;acquisition réhabilitation;;5;logement familial;652128.5011;6861148.763;"{""type"": ""Point"", ""coordinates"": [2.347659051778707, 48.848602581613655]}";48.8486025816, 2.34765905178
216;17-17BIS RUE REBEVAL 5-7 RUE LOUISE LABBE;75019;Paris;2003;SAPE;83;0;0;0;83;acquisition conventionnement;;19;logement familial;654339.9683;6863995.275;"{""type"": ""Point"", ""coordinates"": [2.377487459743339, 48.87436145802278]}";48.874361458, 2.37748745974
218;13 RUE GUYTON DE MORVEAU;75013;Paris;2003;PARIS HAB;15;0;0;0;15;acquisition réhabilitation;;13;logement familial;652142.5345;6858497.034;"{""type"": ""Point"", ""coordinates"": [2.3481485692547492, 48.824756457742254]}";48.8247564577, 2.34814856925
221;21, RUE D'OUESSANT;75015;Paris;2003;ELOGIE;14;0;10;0;4;acquisition réhabilitation;;15;logement familial;648489.2164;6861325.475;"{""type"": ""Point"", ""coordinates"": [2.298047934935611, 48.8499110754399]}";48.8499110754, 2.29804793494
225;8 A 10, RUE DES LILAS 27-33 RUE DU PRE-ST GERVAIS (APHP);75019;Paris;2003;SAGI;47;0;0;0;47;construction neuve;;19;logement familial;655696.6862;6864441.984;"{""type"": ""Point"", ""coordinates"": [2.39593714400789, 48.87847337465615]}";48.8784733747, 2.39593714401
232;45, RUE D'ALLERAY;75015;Paris;2003;IMM 3F;52;13;39;0;0;acquisition conventionnement;;15;logement familial;648911.1917;6859862.439;"{""type"": ""Point"", ""coordinates"": [2.30397374780839, 48.836787638935505]}";48.8367876389, 2.30397374781
238;115 RUE DE CRIMEE ET 5 A 15, PASSAGE DU NORD  (BATIMENT COUR);75019;Paris;2003;SAGI;21;0;0;0;21;construction neuve;;19;logement familial;654720.9033;6865231.112;"{""type"": ""Point"", ""coordinates"": [2.382549030129835, 48.885501918804856]}";48.8855019188, 2.38254903013
243;108-110 QUAI DE JEMMAPES, 54 RUE BICHAT,11 RUE DE L'HOPITAL ST LOUIS;75010;Paris;2003;FONCIERE;9;0;0;0;9;construction neuve;;10;logement familial;653323.2867;6863977.14;"{""type"": ""Point"", ""coordinates"": [2.363628972656774, 48.87412549150306]}";48.8741254915, 2.36362897266
245;LOT B5 - 8-10, RUE MICHEL DE BOURGES 2, IMPASSE DE LA LOI;75020;Paris;2003;PARIS HAB;21;0;21;0;0;construction neuve;;20;résidence pour étudiants;656007.7678;6861744.94;"{""type"": ""Point"", ""coordinates"": [2.40045769387338, 48.854240533633984]}";48.8542405336, 2.40045769387
252;POLE 3 - LOT 4A (ETUDIANTS) 8 RUE SAINTE LEONIE;75014;Paris;2003;SEMEA XV;45;0;45;0;0;construction neuve;;14;résidence pour étudiants;650070.0201;6859483.505;"{""type"": ""Point"", ""coordinates"": [2.319805131615681, 48.833470688476204]}";48.8334706885, 2.31980513162
259;156-162 RUE DE SAUSSURE;75017;Paris;2003;PARIS HAB;85;0;79;0;6;construction neuve;;17;logement familial;649093.2896;6865764.886;"{""type"": ""Point"", ""coordinates"": [2.305747497406741, 48.889881613958835]}";48.889881614, 2.30574749741
263;26 - 26BIS RUE DE L'ARGONNE;75019;Paris;2003;HENEO;76;76;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;19;foyer de travailleurs migrants;654723.5821;6866173.82;"{""type"": ""Point"", ""coordinates"": [2.382485027285201, 48.893979563556606]}";48.8939795636, 2.38248502729
264;32, RUE DE LA GRANDE TRUANDERIE;75001;Paris;2003;PARIS HAB;17;5;12;0;0;acquisition conventionnement;;1;logement familial;652176.8957;6862757.675;"{""type"": ""Point"", ""coordinates"": [2.348137500701398, 48.86307497420312]}";48.8630749742, 2.3481375007
266;17 RUE BROUSSAIS;75014;Paris;2003;AXIMO;100;0;50;0;50;construction neuve;;14;logement familial;651302.5473;6858943.874;"{""type"": ""Point"", ""coordinates"": [2.336656774408929, 48.828712039464676]}";48.8287120395, 2.33665677441
269;70, BD VINCENT AURIOL;75013;Paris;2003;PARIS HAB;37;37;0;0;0;acquisition réhabilitation;;13;résidence sociale pour démuni;653441.6343;6859557.737;"{""type"": ""Point"", ""coordinates"": [2.365726377504965, 48.834390643389725]}";48.8343906434, 2.3657263775
276;19-21, RUE LAKANAL;75015;Paris;2003;SABLIERE;44;7;37;0;0;acquisition conventionnement;;15;logement familial;648299.3843;6860660.262;"{""type"": ""Point"", ""coordinates"": [2.295542047077251, 48.84391365750874]}";48.8439136575, 2.29554204708
279;4, PASSAGE KRACHER;75018;Paris;2003;HENEO;10;10;0;0;0;acquisition réhabilitation;Résidence social issue du plan de traitement des foyers de travailleurs migrants;18;foyer de travailleurs migrants;652274.2607;6866298.434;"{""type"": ""Point"", ""coordinates"": [2.349066742824035, 48.89492325442617]}";48.8949232544, 2.34906674282
285;59, RUE DE LANCRY , 2-4 RUE LEGOUVE;75010;Paris;2003;PARIS HAB;24;5;19;0;0;construction neuve;;10;logement familial;653245.325;6863749.139;"{""type"": ""Point"", ""coordinates"": [2.362591213152223, 48.872069473154305]}";48.8720694732, 2.36259121315
286;8, RUE DESCARTES;75005;Paris;2003;PARIS HAB;10;0;10;0;0;acquisition réhabilitation;;5;logement familial;652194.0632;6860984.615;"{""type"": ""Point"", ""coordinates"": [2.34857087363706, 48.84713127066825]}";48.8471312707, 2.34857087364
293;50-52 RUE PHILIPPE DE GIRARD;75018;Paris;2003;PARIS HAB;31;0;31;0;0;acquisition réhabilitation;;18;logement familial;653164.3952;6865240.537;"{""type"": ""Point"", ""coordinates"": [2.361323489964062, 48.885475339534594]}";48.8854753395, 2.36132348996
299;ZAC PRG LOT M7B 42-56 RUE DU CHEVALERET;75013;Paris;2004;SABLIERE;48;0;0;0;48;construction neuve;;13;logement familial;654231.1184;6858916.073;"{""type"": ""Point"", ""coordinates"": [2.376550238595734, 48.8286766236669]}";48.8286766237, 2.3765502386
303;24 RUE DU RENDEZ VOUS;75012;Paris;2004;ELOGIE;9;0;9;0;0;acquisition réhabilitation;;12;logement familial;656258.3142;6860771.933;"{""type"": ""Point"", ""coordinates"": [2.403972193728169, 48.845507334022244]}";48.845507334, 2.40397219373
304;7, RUE DESARGUES;75011;Paris;2004;SIEMP;9;0;0;0;9;acquisition réhabilitation;;11;logement familial;654254.5946;6863478.217;"{""type"": ""Point"", ""coordinates"": [2.376379226275306, 48.86970559873731]}";48.8697055987, 2.37637922628
315;13 BIS,  AVENUE PHILIPPE AUGUSTE;75011;Paris;2004;PARIS HAB;22;5;17;0;0;acquisition conventionnement;;11;logement familial;655564.0778;6861312.439;"{""type"": ""Point"", ""coordinates"": [2.394456360325315, 48.850320611832856]}";48.8503206118, 2.39445636033
318;158-160, RUE DU FAUBOURG SAINT ANTOINE OU 47-49 RUE DE CITEAUX;75012;Paris;2004;SAGI;11;0;11;0;0;construction neuve;;12;logement familial;654577.148;6861317.864;"{""type"": ""Point"", ""coordinates"": [2.381007092976047, 48.850300577940324]}";48.8503005779, 2.38100709298
319;6 VILLA MODERNE;75014;Paris;2004;SAGI;23;0;23;0;0;construction neuve;;14;logement familial;650404.1307;6859156.565;"{""type"": ""Point"", ""coordinates"": [2.324394595820344, 48.830556288357805]}";48.8305562884, 2.32439459582
320;24, RUE BONAPARTE;75006;Paris;2004;PARIS HAB;63;0;63;0;0;acquisition réhabilitation;;6;résidence pour étudiants;651138.2895;6861961.719;"{""type"": ""Point"", ""coordinates"": [2.334072729162383, 48.85583910412289]}";48.8558391041, 2.33407272916
329;103-103 BIS, RUE DE CHARENTON;75012;Paris;2004;PARIS HAB;32;6;26;0;0;construction neuve;;12;logement familial;654341.1989;6860990.047;"{""type"": ""Point"", ""coordinates"": [2.377827064266387, 48.847335844830766]}";48.8473358448, 2.37782706427
334;4 RUE THOREL;75002;Paris;2004;SEM CENTRE;6;0;6;0;0;acquisition réhabilitation;;2;logement familial;652249.1859;6863473.191;"{""type"": ""Point"", ""coordinates"": [2.349042421546552, 48.86951484705172]}";48.8695148471, 2.34904242155
342;LOT J2 - 64, RUE DES VIGNOLES  - 54-58, RUE DE LA REUNION;75020;Paris;2004;SAGI;4;0;4;0;0;acquisition réhabilitation;;20;logement familial;656089.6075;6861856.005;"{""type"": ""Point"", ""coordinates"": [2.401561521360371, 48.85524492041391]}";48.8552449204, 2.40156152136
348;17 A 25, RUE PETIT - 5 PASSAGE DU NORD;75019;Paris;2004;SAGI;24;0;0;0;24;construction neuve;;19;logement familial;654642.1249;6865161.209;"{""type"": ""Point"", ""coordinates"": [2.381482274518548, 48.88486775752406]}";48.8848677575, 2.38148227452
391;PLANCHAT VIGNOLES (32-34, RUE TERRE NEUVE 11-37, RUE DES VIGNOLES) 2EME T.;75020;Paris;2004;PARIS HAB;44;0;0;0;44;construction neuve;;20;logement familial;655869.5815;6861779.434;"{""type"": ""Point"", ""coordinates"": [2.398570932426588, 48.85454128645659]}";48.8545412865, 2.39857093243
403;25, RUE MORAND;75011;Paris;2004;LOGIS;29;29;0;0;0;acquisition réhabilitation;;11;résidence sociale pour démuni;654198.1034;6863460.212;"{""type"": ""Point"", ""coordinates"": [2.375611087201109, 48.869539668268]}";48.8695396683, 2.3756110872
403;25, RUE MORAND;75011;Paris;2004;LOGIS;9;9;0;0;0;construction neuve;;11;résidence sociale pour démuni;654198.1034;6863460.212;"{""type"": ""Point"", ""coordinates"": [2.375611087201109, 48.869539668268]}";48.8695396683, 2.3756110872
602;9, RUE AUGUSTE LAURENT;75011;Paris;2005;SIEMP;10;0;0;0;10;acquisition réhabilitation;;11;logement familial;654665.1364;6862082.257;"{""type"": ""Point"", ""coordinates"": [2.382124584508195, 48.857180928220394]}";48.8571809282, 2.38212458451
611;24-28, RUE AUGUSTE CHABRIERES  - 189, RUE DE LA CROIX NIVERT;75015;Paris;2006;FONCIERE;16;0;0;0;16;construction neuve;;15;logement familial;647841.5669;6859633.432;"{""type"": ""Point"", ""coordinates"": [2.289430194022143, 48.834642496615]}";48.8346424966, 2.28943019402
618;13, BD SAINT DENIS;75002;Paris;2006;SEM CENTRE;15;7;8;0;0;acquisition réhabilitation;;2;logement familial;652592.5033;6863442.226;"{""type"": ""Point"", ""coordinates"": [2.353725902300257, 48.86926174600561]}";48.869261746, 2.3537259023
621;3-5-7, CITE DEBERGUE;75012;Paris;2006;ELOGIE;3;3;0;0;0;acquisition réhabilitation;;12;logement familial;656251.6142;6860797.797;"{""type"": ""Point"", ""coordinates"": [2.403878241888139, 48.84573947519645]}";48.8457394752, 2.40387824189
623;29 RUE COPERNIC;75016;Paris;2006;LOG.FR.;8;0;8;0;0;construction neuve;;16;logement familial;647808.2963;6863477.798;"{""type"": ""Point"", ""coordinates"": [2.288505067278477, 48.869211732526004]}";48.8692117325, 2.28850506728
624;134, RUE DE CHARENTON;75012;Paris;2006;COOP.FAM.;41;8;33;0;0;acquisition conventionnement;;12;logement familial;654486.6565;6860819.313;"{""type"": ""Point"", ""coordinates"": [2.379827343215449, 48.84581072258775]}";48.8458107226, 2.37982734322
652;95 RUE VILLIERS DE L'ISLE ADAM;75020;Paris;2006;FREHA;2;2;0;0;0;acquisition réhabilitation;;20;logement familial;655905.266;6863331.11;"{""type"": ""Point"", ""coordinates"": [2.398896259500217, 48.868497810225385]}";48.8684978102, 2.3988962595
655;4-18, RUE BRUNESEAU;75013;Paris;2006;RIVP;50;50;0;0;0;construction neuve;;13;foyer pour jeunes travailleurs ou résidence pour jeunes;655054.5413;6858491.535;"{""type"": ""Point"", ""coordinates"": [2.387811034494015, 48.82491662056107]}";48.8249166206, 2.38781103449
674;2-2 BIS, RUE EDMOND FLAMAND - 20, BD VINCENT AURIOL;75013;Paris;2006;FREHA;27;27;0;0;0;construction neuve;;13;logement familial;653879.2966;6859840.494;"{""type"": ""Point"", ""coordinates"": [2.371657830820693, 48.83696497129256]}";48.8369649713, 2.37165783082
676;HOPITAL HEROLD (APHP) 7, PLACE RHIN ET DANUBE (EHPAD);75019;Paris;2006;CASVP;100;0;0;0;100;construction neuve;;19;établissement d'hébergement pour personnes âgées dépendantes;655520.0339;6864856.114;"{""type"": ""Point"", ""coordinates"": [2.393485265056902, 48.88218536535123]}";48.8821853654, 2.39348526506
699;14, RUE CAMPO FORMIO;75013;Paris;2006;AXIMO;2;2;0;0;0;acquisition réhabilitation;;13;logement familial;653071.441;6859513.933;"{""type"": ""Point"", ""coordinates"": [2.360688213514731, 48.833969860964]}";48.833969861, 2.36068821351
704;58, RUE DES MOINES;75017;Paris;2006;LOGIKIA;11;8;3;0;0;acquisition réhabilitation;;17;logement familial;650212.1241;6865817.403;"{""type"": ""Point"", ""coordinates"": [2.320998952707828, 48.89044136880385]}";48.8904413688, 2.32099895271
778;13-15,  RUE DU NORD;75018;Paris;2007;SIEMP;3;0;3;0;0;construction neuve;;18;logement familial;652444.2037;6866059.242;"{""type"": ""Point"", ""coordinates"": [2.351411293681057, 48.89278487191554]}";48.8927848719, 2.35141129368
786;14-18, RUE EMILE CHAINE;75018;Paris;2007;SIEMP;3;0;0;0;3;construction neuve;;18;logement familial;652453.4265;6866082.175;"{""type"": ""Point"", ""coordinates"": [2.351534504463404, 48.89299178062538]}";48.8929917806, 2.35153450446
787;19,  RUE DU NORD;75018;Paris;2007;SIEMP;3;0;0;0;3;construction neuve;;18;logement familial;652421.4304;6866066.024;"{""type"": ""Point"", ""coordinates"": [2.351099954397592, 48.892844177224]}";48.8928441772, 2.3510999544
795;105 RUE DE ROME;75017;Paris;2007;ELOGIE;8;2;6;0;0;acquisition réhabilitation;;17;logement familial;649998.9782;6865120.283;"{""type"": ""Point"", ""coordinates"": [2.318174329954944, 48.884155913119606]}";48.8841559131, 2.31817432995
797;11 RUE DE SOFIA;75018;Paris;2007;SIEMP;5;0;5;0;0;construction neuve;"opération abandonnée; réagréée";18;logement familial;652219.8282;6865158.376;"{""type"": ""Point"", ""coordinates"": [2.348452669324042, 48.88466709437001]}";48.8846670944, 2.34845266932
801;126 RUE DE CHARONNE;75011;Paris;2007;FREHA;7;7;0;0;0;acquisition réhabilitation;;11;logement familial;655016.1247;6861838.865;"{""type"": ""Point"", ""coordinates"": [2.386933816320181, 48.855016721693055]}";48.8550167217, 2.38693381632
822;29 RUE AU MAIRE;75003;Paris;2007;ELOGIE;6;2;4;0;0;acquisition réhabilitation;;3;logement familial;652750.1212;6862929.336;"{""type"": ""Point"", ""coordinates"": [2.3559315332427913, 48.86466099763085]}";48.8646609976, 2.35593153324
823;146TER A 154, RUE DU FG POISSONNIERE;75010;Paris;2007;RIVP;24;10;14;0;0;construction neuve;;10;logement familial;652319.4027;6864815.489;"{""type"": ""Point"", ""coordinates"": [2.3498489385524772, 48.88159099953344]}";48.8815909995, 2.34984893855
825;28, PASSAGE DU MONT CENIS;75018;Paris;2007;SIEMP;3;0;3;0;0;acquisition réhabilitation;;18;logement familial;651999.0393;6866567.9;"{""type"": ""Point"", ""coordinates"": [2.345282686040308, 48.89732598659903]}";48.8973259866, 2.34528268604
826;7-9, RUE DE L'OURCQ;75019;Paris;2007;PARIS HAB;41;41;0;0;0;acquisition réhabilitation;;19;foyer pour jeunes travailleurs ou résidence pour jeunes;654873.6453;6865399.551;"{""type"": ""Point"", ""coordinates"": [2.384613920081205, 48.8870273620002]}";48.887027362, 2.38461392008
829;62-64, RUE VIEILLE DU TEMPLE;75003;Paris;2007;FREHA;2;2;0;0;0;acquisition réhabilitation;"opération abandonnée; réagréée";3;logement familial;652997.4241;6862302.169;"{""type"": ""Point"", ""coordinates"": [2.359371755857599, 48.85903905903578]}";48.859039059, 2.35937175586
843;23, RUE DU POTEAU;75018;Paris;2007;ELOGIE;10;10;0;0;0;acquisition réhabilitation;;18;logement familial;651754.4344;6866163.083;"{""type"": ""Point"", ""coordinates"": [2.341992520847484, 48.89366735239412]}";48.8936673524, 2.34199252085
844;PORTE POUCHET - 47, RUE PIERRE REBIERE (RECONSTITUTION TOUR BOREL) LOT A;75017;Paris;2007;PARIS HAB;92;0;0;92;0;construction neuve;;17;logement familial;649992.8683;6866573.354;"{""type"": ""Point"", ""coordinates"": [2.317919864799611, 48.89722231888026]}";48.8972223189, 2.3179198648
845;24-26, RUE DES ARCHIVES (LOGTS INSERTION);75004;Paris;2007;FREHA;3;3;0;0;0;acquisition réhabilitation;opération abandonnée;4;logement familial;652673.5406;6862190.245;"{""type"": ""Point"", ""coordinates"": [2.354969996801805, 48.85800882595567]}";48.858008826, 2.3549699968
849;9, RUE GEOFFROY MARIE;75009;Paris;2007;SEMIDEP;13;4;9;0;0;construction neuve;;9;logement familial;651877.2878;6863929.805;"{""type"": ""Point"", ""coordinates"": [2.343921076553324, 48.873593396194366]}";48.8735933962, 2.34392107655
850;29, RUE RIQUET;75019;Paris;2007;PARIS HAB;9;9;0;0;0;construction neuve;"opération abandonnée; réagréée";19;logement familial;654008.7317;6865596.123;"{""type"": ""Point"", ""coordinates"": [2.3727983314343453, 48.888733870919964]}";48.8887338709, 2.37279833143
855;22,  RUE DU NORD 21 RUE EMILE CHAINE;75018;Paris;2007;SIEMP;3;3;0;0;0;construction neuve;;18;logement familial;652415.9481;6866074.844;"{""type"": ""Point"", ""coordinates"": [2.351024198819426, 48.89292308686737]}";48.8929230869, 2.35102419882
856;14 BD VAUGIRARD;75015;Paris;2007;HSF;54;54;0;0;0;construction neuve;;15;maison relais;650040.0419;6860425.298;"{""type"": ""Point"", ""coordinates"": [2.319286158193727, 48.8419379356684]}";48.8419379357, 2.31928615819
858;PORTE POUCHET - 47, RUE PIERRE REBIERE (RECONSTITUTION TOUR BOREL) LOT B;75017;Paris;2007;PARIS HAB;49;0;0;49;0;construction neuve;;17;logement familial;649992.8683;6866573.354;"{""type"": ""Point"", ""coordinates"": [2.317919864799611, 48.89722231888026]}";48.8972223189, 2.3179198648
866;88, RUE DIDOT - 1 A 7 VILLA MALLEBAY;75014;Paris;2007;ELOGIE;4;2;0;2;0;acquisition réhabilitation;;14;logement familial;649787.5335;6858928.385;"{""type"": ""Point"", ""coordinates"": [2.316022519880567, 48.828456504795106]}";48.8284565048, 2.31602251988
867;48, RUE FRANCOIS MIRON 31, RUE GEOFFROY L'ASNIER;75004;Paris;2007;SEMPSEINE;4;0;4;0;0;construction neuve;;4;logement familial;652838.1604;6861915.802;"{""type"": ""Point"", ""coordinates"": [2.357244009252157, 48.855552857307124]}";48.8555528573, 2.35724400925
868;14 BD VAUGIRARD;75015;Paris;2007;HSF;58;58;0;0;0;construction neuve;;15;résidence sociale pour démuni;650040.0419;6860425.298;"{""type"": ""Point"", ""coordinates"": [2.319286158193727, 48.8419379356684]}";48.8419379357, 2.31928615819
869;88, RUE DIDOT - 1 A 7 VILLA MALLEBAY;75014;Paris;2007;ELOGIE;2;1;0;1;0;construction neuve;;14;logement familial;649787.5335;6858928.385;"{""type"": ""Point"", ""coordinates"": [2.316022519880567, 48.828456504795106]}";48.8284565048, 2.31602251988
870;48, RUE DE LA CROIX NIVERT;75015;Paris;2007;ELOGIE;5;0;5;0;0;construction neuve;;15;logement familial;648499.9415;6860862.568;"{""type"": ""Point"", ""coordinates"": [2.298250141238282, 48.84574904495835]}";48.845749045, 2.29825014124
880;3 RUE VICTOR LETALLE;75020;Paris;2007;SIEMP;3;3;0;0;0;acquisition réhabilitation;;20;logement familial;654905.8401;6863202.755;"{""type"": ""Point"", ""coordinates"": [2.385286153247869, 48.867274337907446]}";48.8672743379, 2.38528615325
890;8, RUE LA CONDAMINE;75017;Paris;2007;LOGICIL;7;0;0;0;7;construction neuve;;17;logement familial;650442.4133;6865522.419;"{""type"": ""Point"", ""coordinates"": [2.324173886253714, 48.88780645835731]}";48.8878064584, 2.32417388625
891;23, RUE LECLUSE;75017;Paris;2007;LOGICIL;6;0;0;0;6;construction neuve;;17;logement familial;650512.6101;6865141.895;"{""type"": ""Point"", ""coordinates"": [2.325175473772025, 48.88438994194645]}";48.8843899419, 2.32517547377
904;77 RUE DE LA FONTAINE AU ROI;75011;Paris;2007;ADOMA;189;189;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;11;foyer de travailleurs migrants;654254.8086;6863392.398;"{""type"": ""Point"", ""coordinates"": [2.376391382789439, 48.868933858660135]}";48.8689338587, 2.37639138279
907;179 BIS QUAI DE VALMY;75010;Paris;2007;IMM 3F;30;30;0;0;0;construction neuve;;10;maison relais;653587.3867;6864660.769;"{""type"": ""Point"", ""coordinates"": [2.367154752222317, 48.880292284700296]}";48.8802922847, 2.36715475222
910;47 RUE MARCADET;75018;Paris;2007;SIEMP;8;0;8;0;0;construction neuve;"opération abandonnée; réagréée";18;logement familial;652396.6406;6865806.543;"{""type"": ""Point"", ""coordinates"": [2.350790969601301, 48.890508930914514]}";48.8905089309, 2.3507909696
