#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2019-01-01,9,7,9,7,8,9,1,86,9,1036,92.875,9,7,6,176,176,176,météo défavorable
2019-01-02,8,5,12,5,6,7,0.3,76,10,1041,34.5,8,4,2,116,116,119,météo très défavorable
2019-01-03,7,3,10,3,5,6,0,83,10,1041,19.875,7,2,1,116,116,116,météo très défavorable
2019-01-04,6,2,8,2,4,4,0,89,10,1041,38.625,6,2,0,116,116,116,météo très défavorable
2019-01-05,6,3,10,3,5,6,0,83,10,1040,78.25,6,3,1,119,122,119,météo très défavorable
2019-01-06,5,3,6,4,5,3,0.4,88,9,1037,99,5,4,2,122,122,176,météo très défavorable
2019-01-07,7,5,10,5,6,5,0.4,91,10,1036,92.5,7,6,4,176,122,122,météo très défavorable
2019-01-08,9,7,17,9,8,7,0.9,85,8,1031,79.75,9,7,4,266,116,353,météo défavorable
2019-01-09,7,5,22,5,6,6,0.6,73,10,1026,56.75,7,1,1,116,353,353,météo très défavorable
2019-01-10,5,2,13,2,4,5,0,73,10,1029,40.75,5,0,-1,116,116,119,météo très défavorable
2019-01-11,7,4,9,3,5,7,0.7,95,6.375,1029,91.125,7,6,2,119,266,176,météo très défavorable
2019-01-12,7,6,18,5,6,6,3.4,92,6.875,1030,89,8,7,3,176,176,266,météo très défavorable
2019-01-13,11,10,25,9,10,10,2.1,86,5.625,1022,99.875,10,8,7,266,122,176,météo défavorable
2019-01-14,9,8,16,8,8,8,2,73,9.875,1023,86.5,10,6,5,176,176,176,météo défavorable
2019-01-15,8,7,10,7,7,8,0.6,80,10,1024,88.875,8,5,5,176,119,119,météo très défavorable
2019-01-16,7,4,18,4,6,6,0.2,78,10,1020,65.25,7,4,1,119,122,116,météo très défavorable
2019-01-17,7,5,19,6,7,5,5.9,79,9.5,1017,71.5,7,5,2,293,119,176,météo très défavorable
2019-01-18,7,2,9,2,4,7,0,73,10,1020,32,7,1,2,116,122,116,météo très défavorable
2019-01-19,3,0,14,0,2,0,2.9,84,8,1017,73.75,3,1,-3,116,119,266,météo très défavorable
2019-01-20,4,2,10,2,3,3,1,82,8.625,1020,80.375,4,2,0,176,176,116,météo très défavorable
2019-01-21,5,1,6,1,3,4,0,61,10,1024,3.125,5,0,-1,113,116,116,météo très défavorable
2019-01-22,2,-1,17,-1,1,1,8.9,99,7.125,1018,69.125,2,2,-5,116,338,317,météo très défavorable
2019-01-23,1,-1,20,0,1,1,6.5,93,5,1004,84.375,1,1,-4,371,395,332,météo très défavorable
2019-01-24,1,-3,6,-3,-1,1,0.4,95,8.875,1016,71.5,1,0,-4,116,122,143,météo très défavorable
2019-01-25,3,1,10,1,2,1,1.6,99,2.125,1017,100,3,5,0,248,248,266,météo très défavorable
2019-01-26,8,6,19,5,7,8,1.4,96,5.375,1017,97.625,8,6,3,248,176,176,météo très défavorable
2019-01-27,7,6,30,7,7,6,11.2,80,7.875,1000,98.625,8,5,1,353,266,296,météo très défavorable
2019-01-28,6,3,18,3,5,5,1.7,76,9.875,1011,55.875,6,0,-1,116,116,122,météo très défavorable
2019-01-29,4,2,17,2,3,4,5.7,78,9,1012,72.875,4,0,-2,119,122,317,météo très défavorable
2019-01-30,2,1,18,1,1,2,18.1,100,6.125,998,79.625,2,2,-3,338,116,326,météo très défavorable
2019-01-31,1,-1,20,-1,0,0,2.2,93,9.375,997,50.125,1,3,-4,116,116,122,météo très défavorable
2019-02-01,6,3,9,3,5,5,10.1,99,7,987,92.75,6,5,0,263,353,248,météo très défavorable
2019-02-02,5,3,24,3,5,4,20,86,7.5,1009,92.125,5,3,-1,266,176,317,météo très défavorable
2019-02-03,5,2,16,2,4,5,0.8,86,8.25,1028,61.25,5,2,-2,329,116,122,météo très défavorable
2019-02-04,4,2,19,1,4,4,2.7,74,9,1029,64.375,4,0,-3,116,122,266,météo très défavorable
2019-02-05,7,2,8,2,5,7,0,78,12.5,1028,19,7,2,0,116,116,116,météo très défavorable
2019-02-06,10,5,16,4,8,10,3.4,97,5.75,1027,85.375,10,9,3,143,266,176,météo très défavorable
2019-02-07,10,9,20,9,10,9,9.5,84,8.25,1017,94,10,8,6,266,296,353,météo défavorable
2019-02-08,10,8,25,8,9,10,1.4,82,5.375,1017,97.625,10,7,5,119,266,266,météo défavorable
2019-02-09,12,10,31,11,11,11,5.8,66,14.5,1010,95.625,11,7,7,296,176,353,météo défavorable
2019-02-10,11,8,35,11,10,8,27.2,79,10.625,1010,95.875,11,7,4,296,302,353,météo très défavorable
2019-02-11,9,5,16,5,8,8,0.5,78,13.375,1032,58.125,9,3,2,116,176,176,météo très défavorable
2019-02-12,9,4,6,4,7,8,0,82,12.5,1037,22.75,9,3,4,116,116,116,météo très défavorable
2019-02-13,11,4,8,4,7,10,0,76,12.5,1037,5.375,11,3,3,116,116,116,météo très défavorable
2019-02-14,11,6,7,5,9,10,0,68,13.75,1035,13.125,11,4,4,116,116,116,météo défavorable
2019-02-15,16,8,8,7,12,15,0,62,12.875,1031,3.125,16,7,7,116,116,116,météo correcte
2019-02-16,16,9,8,8,13,16,0,73,14.625,1028,12.625,18,7,8,116,113,113,météo correcte
2019-02-17,16,8,14,7,13,16,0,60,15,1024,41.125,16,8,6,122,116,113,météo correcte
2019-02-18,14,9,14,10,11,12,0,77,11.625,1020,12.875,14,8,8,113,116,116,météo correcte
2019-02-19,13,8,6,8,11,12,1.8,82,10.5,1022,41.625,13,7,8,293,116,116,météo correcte
2019-02-20,13,7,7,6,10,13,0,84,10,1025,28.375,13,7,6,116,116,116,météo correcte
2019-02-21,18,9,5,9,12,18,0,84,10,1031,3.875,18,10,9,116,116,113,météo favorable
