#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2014-01-01,9,7,33,5,8,7,7.9,95,8.375,1011,83,9,7,3,119,266,296,météo défavorable
2014-01-02,11,10,27,9,10,10,1.8,92,9.75,1006,60.75,11,9,7,200,116,116,météo défavorable
2014-01-03,12,10,33,8,12,11,1.5,95,8.875,1012,65.375,12,9,7,266,116,119,météo défavorable
2014-01-04,11,9,28,7,10,10,4.7,84,9.125,1011,67.5,11,9,6,122,122,353,météo défavorable
2014-01-05,8,4,20,3,7,7,1.1,94,7.875,1010,54.375,8,6,1,176,116,266,météo très défavorable
2014-01-06,11,9,32,8,11,10,6,91,5.5,1009,91.625,11,10,5,302,122,266,météo défavorable
2014-01-07,12,10,27,8,12,10,2.5,93,9.75,1014,52.125,12,9,7,116,293,116,météo défavorable
2014-01-08,13,11,16,9,12,11,0.5,95,10,1021,49.125,13,11,9,116,116,116,météo correcte
2014-01-09,11,10,28,9,11,7,3.4,94,9.75,1016,57.125,11,9,6,119,296,116,météo défavorable
2014-01-10,8,6,12,5,7,7,0.1,96,7,1020,34.75,8,6,4,143,116,116,météo très défavorable
2014-01-11,10,7,10,5,9,7,1.4,89,8.875,1025,47.375,10,8,6,296,113,116,météo défavorable
2014-01-12,8,3,18,2,7,6,0,94,10,1025,12.375,8,6,-1,116,113,113,météo très défavorable
2014-01-13,11,8,20,6,10,9,0.7,93,9,1014,39.875,11,7,6,119,116,113,météo défavorable
2014-01-14,7,4,18,3,7,5,4.3,99,7.5,1012,55,7,5,1,302,116,116,météo très défavorable
2014-01-15,8,5,24,5,7,7,5.5,96,5.625,1012,94,8,7,0,296,266,296,météo très défavorable
2014-01-16,11,8,30,7,10,9,4.2,95,8.75,1003,64,11,8,5,296,266,116,météo défavorable
2014-01-17,9,7,30,5,9,8,0,90,10,1000,29,9,6,3,116,113,113,météo défavorable
2014-01-18,10,4,21,4,10,7,0,89,10,1000,27,10,6,1,113,113,113,météo très défavorable
2014-01-19,10,7,13,6,9,8,2.7,95,7.875,1002,81.25,10,7,6,266,122,119,météo défavorable
2014-01-20,8,6,14,4,8,7,1.1,88,5.125,1012,69.75,8,6,4,263,263,116,météo très défavorable
2014-01-21,6,2,12,2,6,3,0,95,9,1014,26.625,6,4,-1,113,113,116,météo très défavorable
2014-01-22,5,3,17,1,4,3,3.4,88,8.125,1013,55.75,5,3,-1,116,263,296,météo très défavorable
2014-01-23,6,5,22,4,6,4,4.6,99,7.625,1017,66,6,5,1,266,119,176,météo très défavorable
2014-01-24,6,4,12,2,5,4,0.2,94,9,1017,58.5,6,4,3,143,116,119,météo très défavorable
2014-01-25,8,6,15,4,7,6,3.4,89,9.75,1018,67.875,8,6,3,296,116,116,météo très défavorable
2014-01-26,8,5,33,4,7,8,9.4,94,8.5,1018,56.875,8,7,1,116,293,302,météo très défavorable
2014-01-27,8,5,28,3,7,6,0.2,89,10,1000,37.75,8,4,1,116,116,116,météo très défavorable
2014-01-28,6,4,28,2,5,4,6.6,99,7.375,997,73.875,6,5,-1,119,296,266,météo très défavorable
2014-01-29,6,4,19,1,5,4,2,84,5.875,998,90.25,6,4,0,296,119,143,météo très défavorable
2014-01-30,9,4,9,3,7,4,0.2,95,6,1005,63.375,9,6,2,143,119,116,météo très défavorable
2014-01-31,7,3,23,2,7,4,0.7,92,7,1009,39.375,7,3,0,113,113,116,météo très défavorable
2014-02-01,9,7,22,5,9,7,14.1,95,8.75,1006,57.5,9,6,4,302,113,176,météo défavorable
2014-02-02,9,3,17,2,7,5,0,89,10,1015,10.125,9,4,-1,113,113,113,météo très défavorable
2014-02-03,8,3,21,2,7,6,0,89,9,1015,14,8,4,-1,113,113,113,météo très défavorable
2014-02-04,9,4,27,3,9,6,0,91,10,1008,44.5,9,4,0,116,116,113,météo très défavorable
2014-02-05,9,7,34,4,9,7,8,96,9.125,1001,62.5,9,7,3,293,176,293,météo défavorable
2014-02-06,9,7,30,5,9,7,4.7,91,8.125,1005,49.125,9,8,2,116,266,113,météo défavorable
2014-02-07,10,8,39,6,9,8,0.8,86,9.75,1004,52.25,10,6,4,122,119,113,météo défavorable
2014-02-08,9,7,37,6,9,5,8.9,91,7.75,999,76.375,9,6,2,302,266,116,météo défavorable
2014-02-09,9,5,39,4,9,5,1.5,83,9.75,999,43.625,9,3,0,116,116,116,météo très défavorable
2014-02-10,8,6,21,4,7,6,1.4,86,8.375,1000,57.25,8,5,3,266,116,122,météo très défavorable
2014-02-11,8,4,35,2,8,5,5.7,87,9,1006,61.5,8,5,-1,113,263,296,météo très défavorable
2014-02-12,7,2,34,1,6,5,4.6,92,9.5,1011,45.125,7,4,-3,113,116,302,météo très défavorable
2014-02-13,9,8,31,6,9,5,4.1,95,8.25,1006,52.625,9,7,4,266,353,263,météo défavorable
2014-02-14,10,5,33,4,6,10,1.8,96,9.25,1007,69.25,10,9,1,116,263,116,météo très défavorable
2014-02-15,11,9,32,7,10,9,0.9,89,9.375,1006,49.875,11,7,5,263,353,113,météo défavorable
2014-02-16,11,6,22,4,10,7,0,88,10,1013,28.375,11,5,2,116,113,116,météo défavorable
2014-02-17,10,5,19,4,9,7,0,93,10,1014,36.75,10,5,2,119,113,113,météo très défavorable
2014-02-18,12,6,18,4,11,8,0.2,76,9,1014,29.625,12,6,3,113,116,266,météo défavorable
2014-02-19,12,7,14,4,11,7,0.2,93,7.75,1016,57.25,12,8,5,248,116,116,météo défavorable
2014-02-20,11,7,30,6,11,10,4.1,94,7.75,1016,73.375,11,10,4,122,122,296,météo défavorable
2014-02-21,10,6,26,5,9,6,0.8,81,9.75,1013,26.75,10,6,2,116,113,113,météo défavorable
2014-02-22,6,5,13,3,5,5,9.6,100,5.625,1020,81.75,6,6,2,296,296,248,météo très défavorable
2014-02-23,12,7,20,4,11,7,0.2,91,9,1020,41.125,12,8,3,116,116,116,météo défavorable
2014-02-24,14,7,24,4,12,9,0,77,10,1014,10.875,14,7,4,113,113,113,météo correcte
2014-02-25,12,8,32,7,12,8,3.9,92,8.75,1011,47.5,12,7,4,116,263,176,météo défavorable
2014-02-26,12,6,13,4,10,8,0,87,9,1021,25,12,5,3,143,113,113,météo défavorable
2014-02-27,7,5,30,4,7,6,11.5,99,9.25,1021,48.5,7,7,1,119,302,176,météo très défavorable
2014-02-28,8,5,19,3,7,6,13.2,100,6.75,1011,77.5,8,6,1,302,116,389,météo très défavorable
2014-03-01,9,6,21,4,8,5,1.1,94,6.375,1003,57.375,9,5,2,122,263,113,météo défavorable
2014-03-02,9,6,23,3,9,6,0,77,10,1005,25.75,9,4,4,113,113,116,météo défavorable
2014-03-03,10,6,30,4,10,6,7.1,81,9.375,991,56.625,10,6,2,116,353,176,météo défavorable
2014-03-04,12,7,12,3,10,6,0.2,87,7,1008,33,12,5,5,143,119,116,météo défavorable
2014-03-05,14,9,9,6,12,8,0,78,10,1026,13.5,14,6,8,113,113,113,météo correcte
2014-03-06,15,9,7,4,13,9,0,74,10,1028,7.875,15,5,8,113,113,113,météo correcte
2014-03-07,16,10,10,6,15,11,0,73,10,1029,9.625,16,6,9,113,113,113,météo correcte
2014-03-08,19,10,17,6,16,12,0,65,10,1029,9.375,19,8,7,113,113,113,météo favorable
2014-03-09,20,12,15,6,18,15,0,71,10,1027,0.5,20,9,11,113,113,113,météo favorable
2014-03-10,18,15,19,11,18,14,0,72,10,1025,0,18,11,14,113,113,113,météo favorable
2014-03-11,17,10,21,8,15,12,0,84,10,1028,27.5,17,8,7,116,113,113,météo correcte
2014-03-12,18,12,15,8,18,14,0,70,10,1030,1.5,18,9,11,113,113,113,météo favorable
2014-03-13,23,17,5,9,21,16,0,63,10,1028,0,25,11,17,113,113,113,météo favorable
2014-03-14,22,15,9,10,20,16,0,73,10,1029,0.25,24,11,15,113,113,113,météo favorable
2014-03-15,15,11,18,8,15,11,0,77,9,1029,41.125,15,7,9,119,116,113,météo correcte
2014-03-16,19,11,16,6,17,14,0,82,8,1027,20.75,19,11,10,143,113,113,météo favorable
2014-03-17,16,9,9,6,13,11,0.1,85,8,1025,31.75,16,10,8,143,116,116,météo correcte
2014-03-18,15,6,23,6,15,10,0,94,9,1023,58,15,9,6,119,116,119,météo correcte
2014-03-19,18,6,12,6,16,12,0,97,8.75,1028,46.25,18,9,4,248,116,116,météo favorable
2014-03-20,19,7,28,7,17,14,0,90,10,1023,8.5,19,9,4,113,113,113,météo favorable
2014-03-21,14,9,23,9,13,12,5,94,9.5,1012,66.125,14,10,6,119,296,119,météo défavorable
2014-03-22,12,6,25,6,12,8,1.9,96,8.5,1008,43.875,12,6,3,122,176,176,météo défavorable
2014-03-23,12,2,22,2,12,6,1.5,95,9.875,1013,31.25,12,3,-2,116,176,353,météo très défavorable
2014-03-24,13,2,9,2,12,7,0,95,8,1015,12.25,13,4,0,143,113,116,météo correcte
2014-03-25,8,5,16,5,8,7,4,91,8.125,1012,78,8,6,2,266,296,116,météo très défavorable
2014-03-26,12,2,17,2,11,7,0,90,10,1014,16.125,12,2,-2,113,113,113,météo très défavorable
2014-03-27,13,2,11,2,12,8,0,83,10,1014,39.625,13,1,0,116,116,116,météo correcte
2014-03-28,17,4,14,4,15,11,0,66,10,1015,30,17,3,2,116,113,113,météo correcte
2014-03-29,21,6,23,6,19,15,0,82,10,1016,18.375,21,8,3,113,113,116,météo favorable
2014-03-30,20,7,17,7,18,14,0,74,10,1015,31.875,21,7,5,113,113,113,météo favorable
2014-03-31,21,12,12,12,21,16,0,74,10,1015,47.625,24,10,11,119,116,113,météo favorable
2014-04-01,23,12,10,12,22,17,1.3,88,10,1013,34.125,25,13,12,116,116,113,météo favorable
2014-04-02,21,10,17,10,21,17,0,92,10,1008,35.875,21,11,9,113,116,116,météo favorable
2014-04-03,20,12,23,12,19,16,0.1,74,10,1006,55.25,20,11,11,116,119,119,météo correcte
2014-04-04,19,9,13,9,19,15,0.1,94,9,1013,51.75,19,11,8,116,119,116,météo correcte
2014-04-05,20,8,13,8,19,15,0,94,8,1017,31.25,20,10,8,116,113,119,météo favorable
2014-04-06,21,10,20,10,19,17,0.1,98,6.75,1019,59.75,21,14,8,248,119,113,météo correcte
2014-04-07,24,12,25,12,24,17,2.8,96,7.875,1018,48.875,25,15,10,116,116,353,météo favorable
2014-04-08,15,7,22,7,15,11,0.6,95,10,1026,44.5,15,9,4,116,353,113,météo correcte
2014-04-09,18,6,5,6,17,13,0,94,7,1028,22.5,18,8,5,143,116,113,météo favorable
2014-04-10,22,9,8,9,21,15,0,84,10,1025,8,24,10,9,113,113,116,météo favorable
2014-04-11,19,8,16,8,19,15,0,94,8,1020,15,19,10,6,143,113,113,météo favorable
2014-04-12,20,8,12,8,19,14,0,90,10,1021,19.125,20,8,6,113,113,116,météo favorable
2014-04-13,17,7,10,7,16,14,0.3,95,8,1023,40,17,9,5,143,353,113,météo correcte
