#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2016-01-01,9,4,22,3,7,7,0.3,94,9.375,1025,79.125,10,6,5,122,122,119,météo très défavorable
2016-01-02,11,8,31,7,10,9,5,83,8.5,1010,71,11,7,5,176,119,266,météo défavorable
2016-01-03,8,6,34,5,8,8,13.3,86,8.625,1010,87.125,9,7,3,122,296,302,météo très défavorable
2016-01-04,9,6,30,6,9,7,0.1,84,10,994,38.25,10,5,4,113,116,116,météo défavorable
2016-01-05,8,7,26,6,8,8,3.1,87,8.875,993,75.5,10,6,4,353,266,119,météo très défavorable
2016-01-06,9,7,17,7,8,6,0.6,92,9,1000,81,10,7,3,143,119,116,météo défavorable
2016-01-07,11,9,36,7,11,8,9.2,93,9.25,1004,73.75,12,8,5,302,176,116,météo défavorable
2016-01-08,7,3,12,3,5,6,0,87,10,1007,17.75,9,6,2,113,116,113,météo très défavorable
2016-01-09,10,5,23,4,8,10,0.3,96,9,1002,66.625,9,8,4,116,176,113,météo très défavorable
2016-01-10,9,5,27,6,8,7,9.7,88,9,996,48.125,10,8,4,113,116,302,météo très défavorable
2016-01-11,9,7,35,6,9,7,6.4,81,9.25,994,54.875,10,6,4,389,176,353,météo défavorable
2016-01-12,8,6,33,5,8,6,0.8,84,10,1010,54.875,9,5,3,116,176,116,météo très défavorable
2016-01-13,7,3,22,4,6,4,0,80,10,1020,52.625,8,4,2,116,116,116,météo très défavorable
2016-01-14,8,5,28,4,7,4,2.2,91,8.875,1015,62.25,8,4,1,266,113,116,météo très défavorable
2016-01-15,6,1,32,1,5,4,0,81,10,1021,27.125,7,2,0,116,116,116,météo très défavorable
2016-01-16,5,2,20,-1,5,3,0.1,89,10,1029,33.5,5,1,-1,116,119,113,météo très défavorable
2016-01-17,5,1,5,0,3,1,3.1,82,9.25,1029,95.125,5,2,2,326,326,317,météo très défavorable
2016-01-18,2,-2,23,-3,1,0,1.2,70,9.875,1023,81.25,2,0,-5,119,119,326,météo très défavorable
2016-01-19,1,-2,6,-3,1,0,0,73,10,1017,27.625,3,0,-1,113,113,119,météo très défavorable
2016-01-20,2,-2,4,-3,2,-2,0,73,10,1023,3.5,5,0,-1,113,113,113,météo très défavorable
2016-01-21,2,-2,8,-3,2,0,0,57,10,1027,5.25,5,0,-3,113,113,113,météo très défavorable
2016-01-22,4,1,20,-1,3,2,3.4,92,8.75,1027,59.75,6,7,-2,113,293,266,météo très défavorable
2016-01-23,6,4,10,3,5,4,0,95,6,1035,23.5,9,7,2,143,113,113,météo très défavorable
2016-01-24,8,4,13,2,5,6,0,86,10,1035,63.375,11,8,3,122,119,116,météo très défavorable
2016-01-25,11,5,16,5,10,10,0,68,10,1029,17.875,12,8,4,113,113,113,météo très défavorable
2016-01-26,11,7,24,7,9,8,0.1,95,8,1029,66.75,13,9,7,143,116,119,météo défavorable
2016-01-27,13,10,33,9,11,11,9.4,86,4.125,1024,100,15,8,7,266,266,302,météo défavorable
2016-01-28,12,8,13,10,9,6,3.6,80,9.625,1031,53.625,10,8,5,296,116,113,météo défavorable
2016-01-29,10,4,26,3,9,10,0.2,84,10,1032,54.625,11,7,0,113,122,122,météo très défavorable
2016-01-30,10,9,44,10,9,8,14.3,90,6.875,1024,95.125,11,9,5,176,302,353,météo défavorable
2016-01-31,12,7,27,6,10,9,3.3,95,7.75,1019,96.375,13,11,5,266,296,176,météo défavorable
2016-02-01,13,11,32,11,13,11,0.3,81,10,1025,93.125,13,10,10,119,122,176,météo défavorable
2016-02-02,12,11,36,11,12,9,3.9,86,8.75,1024,81.5,12,9,7,122,266,293,météo défavorable
2016-02-03,8,5,35,5,8,7,1.7,73,9.75,1031,54.375,8,3,3,176,122,113,météo très défavorable
2016-02-04,10,5,33,5,8,9,2.5,91,7.75,1032,84.875,11,9,1,119,296,122,météo très défavorable
2016-02-05,11,9,17,9,11,10,0.4,93,8,1030,88.75,13,10,10,122,119,122,météo défavorable
2016-02-06,14,8,32,7,11,12,0.2,86,10,1017,40.5,14,8,6,176,113,113,météo correcte
2016-02-07,11,7,34,9,9,9,4.7,73,7.5,1007,64,12,5,6,266,116,116,météo défavorable
2016-02-08,11,10,51,11,11,9,8.3,77,7.5,1004,88.125,12,6,5,356,293,353,météo défavorable
2016-02-09,11,8,67,8,11,5,5.4,86,8.25,1004,85,11,9,4,266,353,389,météo défavorable
2016-02-10,7,4,33,2,7,6,1.8,74,8.875,1007,71.5,8,4,0,122,353,263,météo très défavorable
2016-02-11,8,3,19,2,7,5,0.2,84,10,1008,55.125,9,3,-1,116,176,116,météo très défavorable
2016-02-12,6,3,26,2,6,6,5.6,89,8.875,1004,72.25,6,4,0,119,302,263,météo très défavorable
2016-02-13,7,5,19,4,7,6,8.7,97,5.25,993,80.25,10,6,2,266,302,263,météo très défavorable
2016-02-14,9,6,18,6,9,7,1.1,89,9,997,75,9,5,6,122,266,116,météo défavorable
2016-02-15,7,4,34,3,6,4,0.1,72,10,1028,58.5,6,1,-2,122,119,116,météo très défavorable
2016-02-16,4,1,15,-2,3,1,0,69,10,1034,0,6,1,-1,113,113,113,météo très défavorable
2016-02-17,3,0,4,-2,3,-1,0,72,10,1030,14.5,7,0,1,113,113,113,météo très défavorable
2016-02-18,4,2,18,0,3,4,0.8,81,8.875,1016,76.5,6,3,0,119,317,122,météo très défavorable
2016-02-19,7,2,18,0,6,4,0,80,10,1024,45.5,8,3,0,122,113,116,météo très défavorable
2016-02-20,12,9,34,8,11,12,5.7,90,6.5,1021,99.875,13,10,8,296,266,176,météo défavorable
2016-02-21,13,10,31,10,11,11,0.5,88,10,1022,92.25,14,11,10,176,176,176,météo défavorable
2016-02-22,12,10,27,9,11,11,2.5,83,7.875,1017,77.25,13,10,8,113,122,296,météo défavorable
2016-02-23,10,7,17,7,7,5,9.5,90,9.25,1018,74.75,9,8,4,296,296,119,météo défavorable
2016-02-24,7,3,9,-1,7,6,1.1,76,8,1021,59.125,8,3,4,113,122,266,météo très défavorable
2016-02-25,7,2,10,-1,5,6,0,71,10,1017,44.625,8,1,0,113,113,119,météo très défavorable
2016-02-26,7,3,9,1,5,4,0,57,10,1017,31.25,7,0,3,116,116,113,météo très défavorable
2016-02-27,9,2,24,0,7,6,0,66,10,1006,73.875,9,0,-1,122,116,119,météo très défavorable
2016-02-28,7,2,37,-1,6,4,0,63,10,1017,50.875,7,0,-2,119,113,113,météo très défavorable
2016-02-29,7,2,31,-1,5,4,0,65,10,1025,4.75,7,0,-2,113,113,113,météo très défavorable
2016-03-01,7,2,27,-1,5,7,3.9,94,7.75,1026,74.75,8,7,-1,119,266,296,météo très défavorable
2016-03-02,10,7,35,7,10,7,6.3,81,8.125,1011,81.25,11,8,4,119,353,176,météo défavorable
2016-03-03,9,6,33,5,8,7,1.5,81,8.75,1010,58.875,9,5,3,266,113,176,météo défavorable
2016-03-04,9,4,22,5,9,4,12.5,91,8,1006,89.5,9,6,4,302,266,176,météo très défavorable
2016-03-05,7,5,24,4,7,6,5.9,87,8.875,1000,80.125,7,3,2,362,362,113,météo très défavorable
2016-03-06,8,5,27,4,7,5,0.7,79,10,1005,84.125,7,2,1,119,353,176,météo très défavorable
2016-03-07,6,3,22,1,5,4,2.1,83,8.875,1012,65.125,5,2,0,332,362,176,météo très défavorable
2016-03-08,8,4,12,1,7,5,0.1,85,10,1018,56.25,8,2,1,116,122,113,météo très défavorable
2016-03-09,7,3,37,4,3,4,9.2,88,8.5,1014,87.25,11,6,-2,266,296,119,météo très défavorable
2016-03-10,10,4,12,3,8,9,0,82,8,1022,42.875,11,5,7,143,113,116,météo très défavorable
2016-03-11,11,5,15,3,10,8,0,73,10,1027,7.75,11,5,4,113,113,113,météo très défavorable
2016-03-12,11,6,17,3,9,8,0,73,10,1029,25.25,12,3,5,113,116,113,météo défavorable
